,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
104,2017-04-01,ADULTO EN PLENITUD,71,7681,3.057522891984565,2.1951568806145034,1497.3282753225167,169578.4325033877,1864161.3626062323
105,2017-04-01,ADULTOS INDEPENDIENTES,59,5193,5.635149881250394,2.3824378971692663,290.9978583678566,254913.11162031646,1812803.7144981413
106,2017-04-01,DIVORCIADO,28,2091,7.965965247887788,3.1640363462458154,12287.338286269365,431690.00139928696,2679948.27925117
107,2017-04-01,HOGARES CON HIJOS,111,6620,8.342396777442117,3.9876132930513597,14668.537370629028,711416.7346619144,2485205.7384478673
110,2017-04-01,JOVEN PROFESIONAL,43,4164,9.656179955171321,2.4978386167146973,15665.790098899128,323021.99824066134,1929517.767857143
111,2017-04-01,JOVEN TRABAJADOR,19,4696,6.609277399204994,1.589863713798978,4178.277421641582,24057.97131371395,1176314.9835164836
112,2017-04-01,PAREJA JOVEN,39,3676,6.593579978237207,2.6439064200217626,1864.5901901575896,215091.82184049045,1397656.4703910614
113,2017-04-01,PAREJAS ADULTAS,48,3279,7.82037206465386,2.8966148215919487,1048.0422892982026,219835.01742015226,1757888.0826542492
114,2017-04-01,PAREJAS SENIOR,52,4471,5.790315365689996,2.926638335942742,886.1050602232186,292562.82757454255,1832056.4696721311
117,2017-05-01,ADULTO EN PLENITUD,48,7924,2.99585646979638,2.1651943462897525,1621.936146631512,173756.42855421992,1860427.7371794872
118,2017-05-01,ADULTOS INDEPENDIENTES,57,5161,5.876122198540312,2.3249370277078087,491.0474258861251,259189.94389785262,1755277.6704892965
119,2017-05-01,DIVORCIADO,26,2266,8.128125919388053,3.244483671668138,8428.055457624627,487364.211540191,2684358.915430267
120,2017-05-01,HOGARES CON HIJOS,110,6625,9.016905660377374,3.997132075471698,8739.653640101444,756796.5252335358,2498437.01814936
123,2017-05-01,JOVEN PROFESIONAL,46,4159,10.42045363468783,2.480644385669632,20771.298917155204,332819.6135236453,1940453.5184275184
124,2017-05-01,JOVEN TRABAJADOR,20,4725,7.143597883597877,1.5953439153439153,690.5264486452751,27390.29252475111,1211424.6358695652
125,2017-05-01,PAREJA JOVEN,42,3713,7.134482449052873,2.6331807164018315,1930.302495603004,222125.09001309192,1444749.308988764
126,2017-05-01,PAREJAS ADULTAS,46,3310,8.560422960725075,2.9244712990936557,1241.7648543542361,258003.29246332034,1702749.593785961
127,2017-05-01,PAREJAS SENIOR,54,4476,6.13334078045874,2.9066130473637175,1716.3080932333328,326974.9279805321,1858970.295
130,2017-06-01,ADULTO EN PLENITUD,59,8038,3.0409720494318786,2.155386912167206,1712.2377964443829,149811.61731071307,1866304.4530583215
131,2017-06-01,ADULTOS INDEPENDIENTES,42,5283,5.81039813237428,2.362483437440848,693.0406992759952,263920.9164545487,1954761.9423076923
132,2017-06-01,DIVORCIADO,29,2272,8.275821596244127,3.1474471830985915,606.188659057299,482852.93757501635,2572713.8547904193
133,2017-06-01,HOGARES CON HIJOS,97,6634,9.143955381368706,4.015224600542659,9002.234220837667,742463.3491056878,2454722.030810649
136,2017-06-01,JOVEN PROFESIONAL,38,4123,10.498827714447428,2.487266553480475,22803.454666324516,338417.35787551274,1921051.2908863921
137,2017-06-01,JOVEN TRABAJADOR,21,4801,7.284662917447726,1.6184128306602792,2293.862919460294,26204.276872718056,1189330.762886598
138,2017-06-01,PAREJA JOVEN,36,3731,7.3075136245868135,2.654784240150094,1295.7054276962015,219120.7346482902,1520952.0620767495
139,2017-06-01,PAREJAS ADULTAS,54,3314,8.554566485616576,2.9215449607724806,2114.8691505743454,264410.91927006876,1715632.578199052
140,2017-06-01,PAREJAS SENIOR,60,4446,6.153921127605318,2.943544759334233,1520.919796269575,360380.5404175654,1869254.2958927075
143,2017-07-01,ADULTO EN PLENITUD,64,8051,3.028567879766465,2.1411004844118744,2758.152463373213,143207.99158289106,1913354.899421129
144,2017-07-01,ADULTOS INDEPENDIENTES,41,5354,6.150261486738856,2.3365707881957416,4305.743266509963,297752.2815962955,1795547.4152410575
145,2017-07-01,DIVORCIADO,29,2174,8.569380558111034,3.2718491260349585,1301.8961819577528,491572.85433885833,2862652.9299270073
146,2017-07-01,HOGARES CON HIJOS,94,6641,9.383928123274616,4.036440295136274,8272.369624488614,756630.3816861791,2510591.6781540303
149,2017-07-01,JOVEN PROFESIONAL,49,4150,11.015261044176713,2.5098795180722893,21244.985189769417,364100.13457571244,1955036.1097410605
150,2017-07-01,JOVEN TRABAJADOR,22,4832,7.683533388520967,1.6382450331125828,200.21354607188454,29893.356128165506,1157060.1355140186
151,2017-07-01,PAREJA JOVEN,38,3755,7.66986240568132,2.6727030625832224,1142.7277863166128,205801.50877601843,1533215.1070195627
152,2017-07-01,PAREJAS ADULTAS,51,3326,9.018590899979955,2.9515935057125677,2615.9498714202314,273627.20634075796,1754521.296208531
153,2017-07-01,PAREJAS SENIOR,67,4495,6.36707452725249,2.9521690767519466,1131.7668455406583,365447.32645168336,1876842.971452561
156,2017-08-01,ADULTO EN PLENITUD,68,7967,3.0973808627254096,2.14911509978662,1559.7106756576436,129732.25336269803,1873489.3435448578
157,2017-08-01,ADULTOS INDEPENDIENTES,45,5235,5.512320916905423,2.309264565425024,748.1310042521442,246185.10722969743,2007779.0155610156
158,2017-08-01,DIVORCIADO,42,2419,8.987322585090244,3.2211657709797437,87167.71809207334,513008.2381892627,2830225.2517193947
159,2017-08-01,HOGARES CON HIJOS,113,6608,9.181724172719958,3.988498789346247,5343.876706158488,762707.0029438776,2536732.427669173
162,2017-08-01,JOVEN PROFESIONAL,63,4141,10.87257506238428,2.498913305964743,13414.02968207008,377225.77470912685,1995246.568069307
163,2017-08-01,JOVEN TRABAJADOR,27,4925,7.465448392554984,1.6203045685279187,155.11648265542414,27875.65176083793,1100417.5570175438
164,2017-08-01,PAREJA JOVEN,51,3795,7.457268335529205,2.665612648221344,2796.541619964858,202062.36761373183,1601150.21954023
165,2017-08-01,PAREJAS ADULTAS,54,3312,8.693588969404168,2.929045893719807,6621.610980817914,285659.5477165184,1814845.9205776174
166,2017-08-01,PAREJAS SENIOR,72,4497,6.292417167000221,2.9595285746052924,2674.685818556577,355535.252149495,1853418.621212121
169,2017-09-01,ADULTO EN PLENITUD,68,8079,2.9267442340223404,2.130337913108058,356.2590933670364,125733.39906250298,1970028.8771280532
170,2017-09-01,ADULTOS INDEPENDIENTES,62,5491,5.690523887573594,2.346749226006192,1018.895195796505,249821.09162405002,2062136.8630350195
171,2017-09-01,DIVORCIADO,27,2189,8.143063803867818,3.20831429876656,28421.815384932663,536022.0299730037,2910759.3429878047
172,2017-09-01,HOGARES CON HIJOS,99,6594,9.183727631179876,4.0,1503.1747217977497,720986.067788389,2599026.183236464
175,2017-09-01,JOVEN PROFESIONAL,43,4111,10.76266926133138,2.526635855023109,14088.42979291075,390557.65415141213,2012726.1423267326
176,2017-09-01,JOVEN TRABAJADOR,25,5070,7.417751479289937,1.6274161735700197,188.39544169230993,28400.989236973728,1090185.747826087
177,2017-09-01,PAREJA JOVEN,40,3829,7.478453904413689,2.6813789501175243,3727.1581998710444,213845.0184196418,1632913.831591173
178,2017-09-01,PAREJAS ADULTAS,44,3289,8.605300496604833,2.959866220735786,2538.3225799486386,292157.8486826706,1800064.9219512194
179,2017-09-01,PAREJAS SENIOR,59,4433,6.250056395217669,2.9939093164899617,876.4648199398367,338981.0104600078,1926018.6899488927
182,2017-10-01,ADULTO EN PLENITUD,56,8052,3.051353700943887,2.1451813214108295,254.72651839066805,135957.53939912893,1993641.6296296297
183,2017-10-01,ADULTOS INDEPENDIENTES,46,5562,5.724379719525348,2.328299172959367,3626.809792026978,236714.49782697367,2028295.6928628709
184,2017-10-01,DIVORCIADO,26,2266,8.449838187702266,3.3181818181818183,43544.72265020857,537062.9910434037,2768634.2832618025
185,2017-10-01,HOGARES CON HIJOS,85,6320,9.116613924050649,4.084177215189873,14613.444268021629,736017.2858354592,2745824.4486452425
188,2017-10-01,JOVEN PROFESIONAL,29,4142,11.024223402543086,2.5584258812168033,14010.412324979416,401211.66012822435,2013458.4299634593
189,2017-10-01,JOVEN TRABAJADOR,19,5214,7.637993862677404,1.6522823168392788,287.3112358844962,32330.880277043372,1217966.235042735
190,2017-10-01,PAREJA JOVEN,35,3925,7.655329087048825,2.7187261146496815,3237.743649696023,229360.72608751158,1733261.1607347876
191,2017-10-01,PAREJAS ADULTAS,28,3346,8.691771269177108,2.957860131500299,2301.3185858780066,304075.09802826535,1879361.57635468
192,2017-10-01,PAREJAS SENIOR,42,4545,6.290685735240182,2.9614961496149617,820.5702040738786,346480.0861948986,1915522.5271966527
195,2017-11-01,ADULTO EN PLENITUD,64,7998,3.0585354672001217,2.140535133783446,203.52652383697637,141035.8233626433,2090009.0963405527
196,2017-11-01,ADULTOS INDEPENDIENTES,50,5558,6.00089960417415,2.3652392947103276,2096.8975420825595,237248.4999932163,2180770.2020933977
197,2017-11-01,DIVORCIADO,18,2309,8.603580193445937,3.4274577739281074,65368.93927016501,579985.452440574,3118068.9331514323
198,2017-11-01,HOGARES CON HIJOS,72,6260,9.211368477103296,4.1129392971246,12653.697427384826,759938.9315690021,2847070.693615656
