ENTIDAD,OPERACION.O.RAMO,PRIMA.EMITIDA,SINIESTROS.PAGADOS,z1,z2,z3,z4,z5,z6,z7
Chiapas,FIR,143.683547,54.291246,0,0,0,0,1,0,0
Chihuahua,FIR,212.247663,240.687234,0,0,0,0,1,0,0
Distrito Federal,FIR,3373.600996,922.111039,0,0,0,0,1,0,0
Durango,FIR,49.270131,9.212282,0,0,0,0,1,0,0
Extranjero,FIR,8.088886,4.575532,0,0,0,0,1,0,0
Guanajuato,FIR,179.352296,95.339211,0,0,0,0,1,0,0
Guerrero,FIR,143.088102,16.506239,0,0,0,0,1,0,0
Hidalgo,FIR,70.788578,73.760721,0,0,0,0,1,0,0
Jalisco,FIR,347.27786,341.347995,0,0,0,0,1,0,0
"Mexico, Estado De",FIR,500.490637,250.521135,0,0,0,0,1,0,0
Michoacan,FIR,55.911898,398.522926,0,0,0,0,1,0,0
Morelos,FIR,35.24334,22.1246,0,0,0,0,1,0,0
Nayarit,FIR,30.363827,3.958761,0,0,0,0,1,0,0
Nuevo Leon,FIR,771.13315,163.02265,0,0,0,0,1,0,0
Oaxaca,FIR,19.887022,32.090521,0,0,0,0,1,0,0
Puebla,FIR,140.267591,83.656038,0,0,0,0,1,0,0
Queretaro,FIR,104.340048,23.085885,0,0,0,0,1,0,0
Quintana Roo,FIR,293.997506,45.999396,0,0,0,0,1,0,0
San Luis Potosi,FIR,66.775008,76.295453,0,0,0,0,1,0,0
Sinaloa,FIR,69.067028,27.681527,0,0,0,0,1,0,0
Sonora,FIR,141.552795,83.066852,0,0,0,0,1,0,0
Tabasco,FIR,25.563177,77.508365,0,0,0,0,1,0,0
Tamaulipas,FIR,214.853351,42.103415,0,0,0,0,1,0,0
Tlaxcala,FIR,15.135766,2.817776,0,0,0,0,1,0,0
Veracruz,FIR,164.613906,44.198505,0,0,0,0,1,0,0
Yucatan,FIR,114.483804,16.704345,0,0,0,0,1,0,0
Zacatecas,FIR,74.793616,8.142874,0,0,0,0,1,0,0
Aguascalientes,LIA,13.365168,3.58464,0,0,0,0,0,1,0
Baja California,LIA,102.293629,15.263478,0,0,0,0,0,1,0
Baja California Sur,LIA,28.200582,5.7598,0,0,0,0,0,1,0
Campeche,LIA,39.380708,4.298512,0,0,0,0,0,1,0
Coahuila,LIA,66.961791,10.427005,0,0,0,0,0,1,0
Colima,LIA,14.980073,6.573679,0,0,0,0,0,1,0
Chiapas,LIA,16.975165,11.040909,0,0,0,0,0,1,0
Chihuahua,LIA,72.399971,17.867858,0,0,0,0,0,1,0
Distrito Federal,LIA,2947.584737,749.908861,0,0,0,0,0,1,0
Durango,LIA,19.916684,4.569664,0,0,0,0,0,1,0
Extranjero,LIA,50.391498,15.818206,0,0,0,0,0,1,0
Guanajuato,LIA,71.058312,18.28773,0,0,0,0,0,1,0
Guerrero,LIA,50.809779,7.830713,0,0,0,0,0,1,0
Hidalgo,LIA,13.350842,22.765245,0,0,0,0,0,1,0
Jalisco,LIA,234.047899,54.54344,0,0,0,0,0,1,0
"Mexico, Estado De",LIA,230.204832,66.885064,0,0,0,0,0,1,0
Michoacan,LIA,13.78467,8.526962,0,0,0,0,0,1,0
Morelos,LIA,26.956217,4.681605,0,0,0,0,0,1,0
Nayarit,LIA,17.137017,3.977167,0,0,0,0,0,1,0
Nuevo Leon,LIA,408.250791,67.605757,0,0,0,0,0,1,0
Oaxaca,LIA,10.427323,5.564701,0,0,0,0,0,1,0
Puebla,LIA,51.986663,14.875452,0,0,0,0,0,1,0
Queretaro,LIA,40.210564,5.003586,0,0,0,0,0,1,0
